"DW_CASE","1934-03-09-12.12.12.000000",""
"DW_CASESTATUSCAT","1934-03-09-12.12.12.000000",""
"DW_CASESTATUSDETAIL","1934-03-09-12.12.12.000000",""
"DW_CASEOWNER","1934-03-09-12.12.12.000000",""
"DW_CASEOWNER_ORG","1934-03-09-12.12.12.000000",""
"DW_CASESTATUSHISTORY","1934-03-09-12.12.12.000000",""
"DW_ORGUNIT","1934-03-09-12.12.12.000000",""
"DW_PRODUCT","1934-03-09-12.12.12.000000",""
"DW_CASESUPER","1934-03-09-12.12.12.000000",""
"DW_CASEEVENT","1934-03-09-12.12.12.000000",""
"DW_STATE","1934-03-09-12.12.12.000000",""
"DW_ADDRESS","1934-03-09-12.12.12.000000",""
"DW_PARTICIPANT","1934-03-09-12.12.12.000000",""
"DW_PARTICIPANT_SSN","1934-03-09-12.12.12.000000",""
"DW_CASEPARTICIPANTROLE","1934-03-09-12.12.12.000000",""
"DW_EDUCATION","1934-03-09-12.12.12.000000",""
"DW_EDUCATIONLEVELS","1934-03-09-12.12.12.000000",""
"DW_EMPLOYER","1934-03-09-12.12.12.000000",""
"DW_EMPLOYMENTSTATUS","1934-03-09-12.12.12.000000",""
"DW_PARTICIPANTHISTORY","1934-03-09-12.12.12.000000",""
"DW_PARTICIPANTSTATUS","1934-03-09-12.12.12.000000",""
"DW_PERSONHISTORY","1934-03-09-12.12.12.000000",""
"DW_PRODUCTPROVISION","1934-03-09-12.12.12.000000",""
"DW_SERVICE","1934-03-09-12.12.12.000000",""
"DW_SERVICEPROVISION","1934-03-09-12.12.12.000000",""
"DW_UTILITY","1934-03-09-12.12.12.000000",""
"DW_TRANSACTIONTYPE","1934-03-09-12.12.12.000000",""
"DW_PAYMENT","1934-03-09-12.12.12.000000",""
"DW_DEDUCTION","1934-03-09-12.12.12.000000",""
"DW_STATICDATA_TRANSFORM","1934-03-09-12.12.12.000000",""
"DW_FUNDRELATION","1934-03-09-12.12.12.000000",""
"DW_FUND","1934-03-09-12.12.12.000000",""
"DW_INSERT_SUS_STATUSES_ETL","1934-03-09-12.12.12.000000",""
"DW_MYSTERYPAYMENTS","1934-03-09-12.12.12.000000",""
"DW_PAYMENTHISTORY","1934-03-09-12.12.12.000000",""
"DW_UPDATE_DEDUCTIONS_ETL","1934-03-09-12.12.12.000000",""
"DW_UPDATE_REGENERATED_ETL","1934-03-09-12.12.12.000000",""
"DW_UPDATE_WRITEOFFS_ETL","1934-03-09-12.12.12.000000",""
"DW_FINANCIALSTATUS","1934-03-09-12.12.12.000000",""
"DW_ORGANISATION","1934-03-09-12.12.12.000000",""
"DW_PROGRAM","1934-03-09-12.12.12.000000",""
"DW_CONCERNROLERELATIONSHIP","1934-03-09-12.12.12.000000",""
"DW_CONCERNROLERELTYPE","1934-03-09-12.12.12.000000",""
"DW_DISPOSITION","1934-03-09-12.12.12.000000",""
"DW_DENIALREASON","1934-03-09-12.12.12.000000",""
"DW_INTAKETYPE","1934-03-09-12.12.12.000000",""
"DW_INTAKECATEGORY","1934-03-09-12.12.12.000000",""
"DW_RECOMMENDATION","1934-03-09-12.12.12.000000",""
"DW_RESPONDSWITHINTIME","1934-03-09-12.12.12.000000",""
"DW_RESPONSEPRIORITY","1934-03-09-12.12.12.000000",""
"DW_PROGRAMAPPLICATION","1934-03-09-12.12.12.000000",""
"DW_UPDATE_CASEPARTROLE","1934-03-09-12.12.12.000000",""
"DW_PERSONTYPE","1934-03-09-12.12.12.000000",""
"DW_MERGESTATUS","1934-03-09-12.12.12.000000",""
"DW_DUPLICATESTATUS","1934-03-09-12.12.12.000000",""
"DW_DUPLICATEREASON","1934-03-09-12.12.12.000000",""
"DW_CONCERNROLEDUPLICATE","1934-03-09-12.12.12.000000",""
"DW_UPDATE_PERSONHISTORY","1934-03-09-12.12.12.000000",""
"DW_UPDATE_CONCERNROLEDUPLICATE","1934-03-09-12.12.12.000000",""
"DW_INTEGRATEDCASETYPES","1934-03-09-12.12.12.000000",""
"DW_CASETYPE","1934-03-09-12.12.12.000000",""
"DW_INDIGENOUSGROUP","1934-03-09-12.12.12.000000",""
"DW_NATIONALITY","1934-03-09-12.12.12.000000",""
"DW_RACE","1934-03-09-12.12.12.000000",""
"DW_UPDATE_CASE","1934-03-09-12.12.12.000000",""
"DW_CASE_TRANSFORM","1934-03-09-12.12.12.000000",""
"DW_ORGUNIT_TRANSFORM","1934-03-09-12.12.12.000000",""
"DW_PERSONHISTORY_TRANSFORM","1934-03-09-12.12.12.000000",""
"DW_PARTICIPANTHIST_TRANSFORM","1934-03-09-12.12.12.000000",""
"DW_PAYMENTHISTORY_TRANSFORM","1934-03-09-12.12.12.000000",""
"DW_INSERT_SUS_TRANSFORM","1934-03-09-12.12.12.000000",""
"DW_INVESTIGATION","1934-03-09-12.12.12.000000",""
"DW_INVSUBTYPE","1934-03-09-12.12.12.000000",""
"DW_MILESTONEDURATION","1934-03-09-12.12.12.000000",""
"DW_OUTCOME","1934-03-09-12.12.12.000000",""
"DW_INVRECOMMENDATION","1934-03-09-12.12.12.000000",""
"DW_UPDATE_INV_OUTCOME","1934-03-09-12.12.12.000000",""
"DW_ALLEGATION","1934-03-09-12.12.12.000000",""
"DW_ALGFINDING","1934-03-09-12.12.12.000000",""
"DW_ALGFINDINGSTATUS","1934-03-09-12.12.12.000000",""
"DW_ALGROLETYPE","1934-03-09-12.12.12.000000",""
"DW_ALGTYPE","1934-03-09-12.12.12.000000",""
"DW_ALGLOCATION","1934-03-09-12.12.12.000000",""
"DW_ALGMETHOD","1934-03-09-12.12.12.000000",""
"DW_RECORDSTATUS","1934-03-09-12.12.12.000000",""
"DW_ALGFINDINGOVERRIDE","1934-03-09-12.12.12.000000",""
"DW_CONFIGPROPERTIES","1934-03-09-12.12.12.000000",""
"DW_ALLEGATIONROLE","1934-03-09-12.12.12.000000",""
"DW_RESOLUTIONSTATUS","1934-03-09-12.12.12.000000",""
"DW_UPDATE_ALGCOUNTBACK","1934-03-09-12.12.12.000000",""
"DW_UPDATE_ALGCOUNTFORWARD","1934-03-09-12.12.12.000000",""
"DW_UPDATE_ALGCOUNT","1934-03-09-12.12.12.000000",""
"DW_FEDERALMILESTONE","1934-03-09-12.12.12.000000",""
"DW_PROVIDER","1934-03-09-12.12.12.000000",""
"DW_SERVICEOFFERING","1934-03-09-12.12.12.000000",""
"DW_CONTACTPURPOSELOOKUP","1934-03-09-12.12.12.000000",""
"DW_CONTACTLOCATION","1934-03-09-12.12.12.000000",""
"DW_CONTACTMETHOD","1934-03-09-12.12.12.000000",""
"DW_CONTACTTYPE","1934-03-09-12.12.12.000000",""
"DW_CONTACTLOG","1934-03-09-12.12.12.000000",""
"DW_CONTACTLOGPURPOSE","1934-03-09-12.12.12.000000",""
"DW_COMPLIANCETYPE","1934-03-09-12.12.12.000000",""
"DW_UPDATE_ADDRESS","1934-03-09-12.12.12.000000",""
"DW_USERS","1934-03-09-12.12.12.000000",""
"DW_REPORTINGTIMELINESS","1934-03-09-12.12.12.000000",""
"DW_CONSTSTATUS","1934-03-09-12.12.12.000000",""
"DW_COUNTRY","1934-03-09-12.12.12.000000",""
"DW_QUALIFICATION","1934-03-09-12.12.12.000000",""
"DW_INDUSTRY","1934-03-09-12.12.12.000000",""
"DW_GENDER","1934-03-09-12.12.12.000000",""
"DW_PAYMENTMETHOD","1934-03-09-12.12.12.000000",""
"DW_DELIVERYMETHOD","1934-03-09-12.12.12.000000",""
"DW_LANGUAGE","1934-03-09-12.12.12.000000",""
"DW_MARITALSTATUS","1934-03-09-12.12.12.000000",""
"DW_ETHNICITY","1934-03-09-12.12.12.000000",""
"DW_YESNOINDICATOR","1934-03-09-12.12.12.000000",""
"DW_SUBSIDIZEDHOUSINGTYPES","1934-03-09-12.12.12.000000",""
"DW_POSITION","1934-03-09-12.12.12.000000",""
"DW_WORKQUEUE","1934-03-09-12.12.12.000000",""
"DW_CASEOWNER_POS","1934-03-09-12.12.12.000000",""
"DW_CASEOWNER_WQ","1934-03-09-12.12.12.000000",""