1,0 - 19,0,19,0 - 19,Core,Core,"2005-03-09-12.12.12.000000"
2,20 - 29,20,29,20 - 29,Core,Core,"2005-03-09-12.12.12.000000"
3,30 - 39,30,39,30 - 39,Core,Core,"2005-03-09-12.12.12.000000"
4,40 - 49,40,49,40 - 49,Core,Core,"2005-03-09-12.12.12.000000"
5,50 - 59,50,59,50 - 59,Core,Core,"2005-03-09-12.12.12.000000"
6,60 - 69,60,69,60 - 69,Core,Core,"2005-03-09-12.12.12.000000"
7,70 - 79,70,79,70 - 79,Core,Core,"2005-03-09-12.12.12.000000"
8,over 80,80,100,> 80,Core,Core,"2005-03-09-12.12.12.000000"
9,0 - 1,0,1,0 - 1,Child,CG10005,"2005-03-09-12.12.12.000000"
10,2 - 5,2,5,2 - 5,Child,CG10005,"2005-03-09-12.12.12.000000"
11,6 - 11,6,11,6 - 11,Child,CG10005,"2005-03-09-12.12.12.000000"
12,12 - 15,12,15,12 - 15,Child,CG10005,"2005-03-09-12.12.12.000000"
13,16 - 19,16,19,16 - 19,Child,CG10005,"2005-03-09-12.12.12.000000"
14,under 20,0,20,< 20,Adult,CG10005,"2005-03-09-12.12.12.000000"
15,20 - 29,20,29,20 - 29,Adult,CG10005,"2005-03-09-12.12.12.000000"
16,30 - 39,30,39,30 - 39,Adult,CG10005,"2005-03-09-12.12.12.000000"
17,40 - 49,40,49,40 - 49,Adult,CG10005,"2005-03-09-12.12.12.000000"
18,over 49,49,100,> 49,Adult,CG10005,"2005-03-09-12.12.12.000000"
19,Under 1,0,1,< 1,CG1,CG1,"2005-03-09-12.12.12.000000"
20,1 - 5,1,5,1 - 5,CG1,CG1,"2005-03-09-12.12.12.000000"
21,6 - 12,6,12,6 - 12,CG1,CG1,"2005-03-09-12.12.12.000000"
22,13 - 14,13,14,13 - 14,CG1,CG1,"2005-03-09-12.12.12.000000"
23,15 - 18,15,18,15 - 18,CG1,CG1,"2005-03-09-12.12.12.000000"
24,19 - 20,19,20,19 - 20,CG1,CG1,"2005-03-09-12.12.12.000000"
25,21 - 44,21,44,21 - 44,CG1,CG1,"2005-03-09-12.12.12.000000"
26,45 - 64,45,64,45 - 64,CG1,CG1,"2005-03-09-12.12.12.000000"
27,65 - 74,65,74,65 - 74,CG1,CG1,"2005-03-09-12.12.12.000000"
28,75 - 84,75,84,75 - 84,CG1,CG1,"2005-03-09-12.12.12.000000"
29,over 85,85,200,> 85,CG1,CG1,"2005-03-09-12.12.12.000000"
30,AGE GROUP UNKNOWN,0,0,AGE GROUP UNKNOWN,CG1,CG1,"2005-03-09-12.12.12.000000"
31,0-3,0,3,0-3,CCS,CCSINV,"2005-03-09-12.12.12.000000"
32,4-7,4,7,4-7,CCS,CCSINV,"2005-03-09-12.12.12.000000"
33,8-11,8,11,8-11,CCS,CCSINV,"2005-03-09-12.12.12.000000"
34,12-15,12,15,12-15,CCS,CCSINV,"2005-03-09-12.12.12.000000"
35,16-19,16,19,16-19,CCS,CCSINV,"2005-03-09-12.12.12.000000"
36,over 19,20,200,> 19,CCS,CCSINV,"2005-03-09-12.12.12.000000"